[2025-08-03T15:08:21.330Z] [INFO] Activando extensión "Ollama Code Analyzer"...
[2025-08-03T15:08:22.133Z] [INFO] Extensión "Ollama Code Analyzer" activada y lista.
[2025-08-03T15:08:28.577Z] [INFO] Ejecutando comando: command.explainCode.title
[2025-08-03T15:08:28.581Z] [INFO] _updateWebview called with: isLoading=true, isUmlGeneration=false
    7134,
    374,
    2669,
    11679,
    291,
    1189,
    3079,
    310,
    762,
    3255,
    284,
    501,
    35081,
    6471,
    2490,
    3600,
    6471,
    764,
    22432,
    2311,
    11,
    4462,
    736,
    310,
    2311,
    75888,
    2121,
    4262,
    51430,
    1647,
    310,
    716,
    38329,
    25876,
    1904,
    23794,
    736,
    310,
    470,
    3255,
    463,
    286,
    335,
    80823,
    73594,
    151645,
    198,
    151644,
    77091,
    198,
    14374,
    29045,
    198,
    785,
    1565,
    71255,
    7134,
    63,
    1714,
    374,
    6188,
    311,
    3705,
    279,
    1882,
    315,
    39551,
    264,
    2311,
    311,
    264,
    4462,
    13,
    1084,
    12341,
    421,
    279,
    2311,
    374,
    2669,
    11679,
    291,
    323,
    11,
    421,
    537,
    11,
    11450,
    264,
    501,
    1565,
    71255,
    6471,
    7808,
    15423,
    279,
    2311,
    438,
    11679,
    291,
    11,
    323,
    11367,
    279,
    3255,
    311,
    279,
    1140,
    315,
    1482,
    16606,
    382,
    14374,
    5309,
    5712,
    2719,
    198,
    12,
    3070,
    3973,
    421,
    5893,
    374,
    39512,
    35081,
    291,
    95518,
    576,
    1714,
    1156,
    12341,
    421,
    279,
    2311,
    374,
    5023,
    11679,
    291,
    1667,
    1565,
    2190,
    4506,
    4262,
    51430,
    28587,
    1416,
    432,
    374,
    11,
    458,
    1565,
    90735,
    63,
    374,
    14989,
    448,
    264,
    1943,
    18860,
    429,
    279,
    2311,
    374,
    2669,
    11679,
    291,
    624,
    12,
    3070,
    4021,
    323,
    3411,
    264,
    35081,
    13583,
    95518,
    1416,
    279,
    2311,
    374,
    537,
    11679,
    291,
    11,
    264,
    501,
    1565,
    71255,
    6471,
    63,
    374,
    3465,
    448,
    264,
    4911,
    3034,
    28654,
    62,
    3600,
    6471,
    764,
    1027,
    63,
    701,
    279,
    2311,
    11,
    323,
    279,
    4462,
    13,
    1096,
    3255,
    374,
    1221,
    5927,
    311,
    279,
    19865,
    624,
    12,
    3070,
    8949,
    5893,
    438,
    35081,
    291,
    95518,
    576,
    1714,
    6738,
    1565,
    2190,
    75888,
    2121,
    4262,
    51430,
    54258,
    311,
    2647,
    279,
    2311,
    594,
    2639,
    311,
    13216,
    429,
    432,
    702,
    1012,
    11679,
    291,
    624,
    12,
    3070,
    2212,
    13583,
    311,
    1759,
    95518,
    576,
    501,
    1565,
    71255,
    6471,
    63,
    374,
    3694,
    311,
    279,
    91621,
    38329,
    25876,
    63,
    1140,
    11,
    892,
    35448,
    9982,
    678,
    1482,
    16606,
    382,
    14374,
    13522,
    198,
    12,
    1565,
    7134,
    2311,
    44622,
    38893,
    279,
    2311,
    429,
    374,
    1660,
    11679,
    291,
    624,
    12,
    1565,
    9366,
    4462,
    44622,
    38893,
    279,
    4462,
    879,
    374,
    52575,
    279,
    2311,
    382,
    14374,
    3411,
    5162,
    198,
    12,
    5184,
    264,
    1565,
    71255,
    6471,
    63,
    1633,
    14064,
    279,
    3255,
    315,
    279,
    11679,
    7745,
    382,
    14374,
    17230,
    6119,
    198,
    73594,
    66,
    52917,
    198,
    888,
    35081,
    6471,
    35081,
    7134,
    80436,
    2311,
    11,
    12039,
    4462,
    340,
    515,
    262,
    421,
    320,
    2190,
    4506,
    4262,
    51430,
    340,
    286,
    2510,
    501,
    52612,
    445,
    7134,
    374,
    2669,
    11679,
    291,
    30458,
    262,
    762,
    3255,
    284,
    501,
    35081,
    6471,
    2490,
    3600,
    6471,
    764,
    22432,
    2311,
    11,
    4462,
    317,
    262,
    2311,
    75888,
    2121,
    4262,
    51430,
    543,
    262,
    716,
    38329,
    25876,
    1904,
    23794,
    317,
    262,
    470,
    3255,
    280,
    532,
    73594
  ],
  "total_duration": 16075492400,
  "load_duration": 86925900,
  "prompt_eval_count": 211,
  "prompt_eval_duration": 343524500,
  "eval_count": 360,
  "eval_duration": 15644469900
}
[2025-08-03T15:08:44.686Z] [INFO] _updateWebview called with: isLoading=false, isUmlGeneration=false
[2025-08-03T15:08:44.691Z] [INFO] Comando 'command.explainCode.title' completado con éxito.
[2025-08-03T15:09:32.529Z] [INFO] Ejecutando análisis para: c:\Users\foro_\OneDrive\Visual Studio\Gemma3nTest\Business\LoanService.cs
[2025-08-03T15:09:32.530Z] [INFO] _updateWebview called with: isLoading=true, isUmlGeneration=false
[2025-08-03T15:09:32.533Z] [INFO] _updateWebview called with: isLoading=true, isUmlGeneration=false
[2025-08-03T15:09:32.536Z] [INFO] Enviando petición a Ollama...
{
  "baseUrl": "http://localhost:11434",
  "model": "qwen2.5-coder:7b"
}
[2025-08-03T15:10:17.726Z] [INFO] Respuesta recibida de Ollama:
{
  "model": "qwen2.5-coder:7b",
  "created_at": "2025-08-03T15:10:17.7112236Z",
  "response": "### <think> Block Outline\n\n**Review Strategy:**\n- **Bugs and Errors:** Identify any logical errors, exceptions that could occur, or bugs in the code.\n- **Bad Practices:** Evaluate if there are any anti-patterns, bad coding practices, or areas for refactoring.\n- **Suggestions for Improvement:** Provide constructive feedback on how to improve readability, performance, and maintainability.\n\n**Key Evaluation Criteria:**\n- **Code Clarity:** Is the code easy to read and understand?\n- **Error Handling:** Are exceptions handled appropriately?\n- **Performance:** Are there any potential performance issues?\n- **Maintainability:** How easy is it to modify or extend the code in the future?\n\n### Summary\n\nThe provided `LoanService` class appears to be well-implemented for its intended purpose. It manages loan records, handles book loans and returns, and retrieves active and member-specific loans. The code is generally clean and follows good practices such as using exceptions for error handling and encapsulating logic within methods.\n\n### Bugs and Errors\n\n**Issue:** Potential null reference exception in `GetLoansByMember`.\n- **Explanation:** If `_loanRecords` contains a `null` value, calling `.Where(r => r.Member.MemberId == memberId)` could result in a `NullReferenceException`.\n- **Severity:** Error\n- **Fix:**\n  ```csharp\n  public IEnumerable<LoanRecord> GetLoansByMember(int memberId)\n  {\n      return _loanRecords.Where(r => r?.Member != null && r.Member.MemberId == memberId);\n  }\n  ```\n\n### Bad Practices\n\n**Issue:** Hard-coded `_nextRecordId` initialization.\n- **Explanation:** The starting value of `_nextRecordId` is hardcoded, which might not be ideal if the system needs to handle a large number of records or is restarted multiple times.\n- **Severity:** Warning\n- **Fix:**\n  ```csharp\n  private int _nextRecordId = 1;\n\n  public LoanService()\n  {\n      _loanRecords = new List<LoanRecord>();\n      // Optionally, load the last used record ID from a database or configuration\n      _nextRecordId = LoadLastUsedRecordId();\n  }\n\n  private int LoadLastUsedRecordId()\n  {\n      // Logic to load the last used record ID\n      return 1; // Placeholder\n  }\n  ```\n\n### Suggestions for Improvement\n\n**Issue:** Lack of null checks in `LoanBook`.\n- **Explanation:** The method does not check if `book` or `member` are `null`, which could lead to a `NullReferenceException`.\n- **Severity:** Warning\n- **Fix:**\n  ```csharp\n  public LoanRecord LoanBook(Book book, Member member)\n  {\n      if (book == null)\n          throw new ArgumentNullException(nameof(book), \"Book cannot be null.\");\n      if (member == null)\n          throw new ArgumentNullException(nameof(member), \"Member cannot be null.\");\n\n      if (book.IsLoaned)\n          throw new InvalidOperationException(\"Book is already loaned.\");\n\n      var record = new LoanRecord(_nextRecordId++, book, member);\n      book.MarkAsLoaned();\n      _loanRecords.Add(record);\n      return record;\n  }\n  ```\n\n**Issue:** Lack of validation for `recordId` in `ReturnBook`.\n- **Explanation:** The method does not check if `recordId` is within a valid range, which could lead to an `ArgumentOutOfRangeException`.\n- **Severity:** Warning\n- **Fix:**\n  ```csharp\n  public void ReturnBook(int recordId)\n  {\n      var record = _loanRecords.FirstOrDefault(r => r.RecordId == recordId);\n      if (record == null)\n          throw new KeyNotFoundException(\"Loan record not found.\");\n\n      if (!record.IsActive)\n          throw new InvalidOperationException(\"Book already returned.\");\n\n      record.MarkReturned();\n      record.Book.MarkAsReturned();\n  }\n  ```\n\n**Issue:** Lack of logging.\n- **Explanation:** The service does not log any information, which could make debugging and tracking the flow of operations more difficult.\n- **Severity:** Info\n- **Fix:**\n  ```csharp\n  public LoanRecord LoanBook(Book book, Member member)\n  {\n      if (book == null)\n          throw new ArgumentNullException(nameof(book), \"Book cannot be null.\");\n      if (member == null)\n          throw new ArgumentNullException(nameof(member), \"Member cannot be null.\");\n\n      if (book.IsLoaned)\n          throw new InvalidOperationException(\"Book is already loaned.\");\n\n      var record = new LoanRecord(_nextRecordId++, book, member);\n      book.MarkAsLoaned();\n      _loanRecords.Add(record);\n\n      // Log the loan operation\n      Log.LoanRecordCreated(record);\n\n      return record;\n  }\n  ```\n\n### Conclusion\n\nOverall, the `LoanService` class is well-implemented and follows good practices. The suggested improvements will enhance its robustness, maintainability, and readability.",
  "done": true,
  "done_reason": "stop",
  "context": [
    151644,
    8948,
    198,
    2610,
    525,
    1207,
    16948,
    11,
    3465,
    553,
    54364,
    14817,
    13,
    1446,
    525,
    264,
    10950,
    17847,
    13,
    151645,
    198,
    151644,
    872,
    198,
    2610,
    525,
    264,
    19342,
    4377,
    28383,
    30374,
    264,
    2038,
    3395,
    369,
    279,
    4128,
    25,
    356,
    2,
    382,
    98743,
    25,
    4615,
    4453,
    2033,
    1969,
    387,
    304,
    662,
    382,
    11135,
    697,
    2033,
    448,
    264,
    366,
    26865,
    29,
    2504,
    78674,
    697,
    3395,
    8282,
    323,
    1376,
    16460,
    12890,
    624,
    7985,
    264,
    11682,
    2038,
    3395,
    304,
    1632,
    8460,
    12127,
    73192,
    11,
    14452,
    369,
    3482,
    3037,
    624,
    22952,
    279,
    3395,
    1667,
    279,
    2701,
    3772,
    69452,
    25,
    364,
    14374,
    21517,
    516,
    364,
    14374,
    86501,
    323,
    39256,
    516,
    364,
    14374,
    11461,
    63713,
    516,
    323,
    364,
    14374,
    87615,
    369,
    52651,
    23569,
    2461,
    1817,
    4265,
    11,
    3410,
    510,
    12,
    362,
    63594,
    16148,
    198,
    12,
    51139,
    2188,
    320,
    1454,
    11,
    26858,
    11,
    13074,
    340,
    12,
    362,
    11827,
    5046,
    4766,
    264,
    19482,
    72802,
    291,
    2038,
    2504,
    320,
    810,
    279,
    8311,
    4128,
    4772,
    4292,
    10253,
    17432,
    3501,
    11,
    48826,
    11469,
    11,
    323,
    2038,
    36566,
    311,
    7269,
    91494,
    624,
    2679,
    279,
    2038,
    374,
    2669,
    1550,
    4271,
    11,
    24645,
    432,
    323,
    2058,
    4190,
    8922,
    18142,
    476,
    66373,
    292,
    59696,
    3723,
    382,
    4421,
    715,
    2078,
    311,
    37427,
    2986,
    320,
    66,
    52917,
    982,
    73594,
    66,
    52917,
    198,
    322,
    8025,
    14,
    71255,
    1860,
    18775,
    319,
    970,
    739,
    463,
    970,
    739,
    3572,
    4341,
    463,
    970,
    739,
    6034,
    463,
    970,
    11635,
    2320,
    9899,
    1926,
    2231,
    11635,
    2320,
    38825,
    319,
    1666,
    262,
    584,
    536,
    35081,
    1860,
    319,
    262,
    972,
    286,
    869,
    5762,
    1759,
    27,
    71255,
    6471,
    29,
    716,
    38329,
    25876,
    463,
    286,
    869,
    526,
    716,
    3600,
    6471,
    764,
    284,
    220,
    16,
    1926,
    286,
    584,
    35081,
    1860,
    3568,
    286,
    972,
    310,
    716,
    38329,
    25876,
    284,
    501,
    1759,
    27,
    71255,
    6471,
    15921,
    286,
    2553,
    286,
    584,
    35081,
    6471,
    35081,
    7134,
    80436,
    2311,
    11,
    12039,
    4462,
    1218,
    286,
    972,
    310,
    421,
    320,
    2190,
    4506,
    4262,
    51430,
    1218,
    394,
    2510,
    501,
    52612,
    445,
    7134,
    374,
    2669,
    11679,
    291,
    1189,
    3079,
    310,
    762,
    3255,
    284,
    501,
    35081,
    6471,
    2490,
    3600,
    6471,
    764,
    22432,
    2311,
    11,
    4462,
    736,
    310,
    2311,
    75888,
    2121,
    4262,
    51430,
    1647,
    310,
    716,
    38329,
    25876,
    1904,
    23794,
    736,
    310,
    470,
    3255,
    463,
    286,
    2553,
    286,
    584,
    737,
    3411,
    7134,
    1548,
    3255,
    764,
    1218,
    286,
    972,
    310,
    762,
    3255,
    284,
    716,
    38329,
    25876,
    29620,
    2601,
    589,
    435,
    49959,
    764,
    621,
    3255,
    764,
    736,
    310,
    421,
    320,
    8548,
    621,
    845,
    1218,
    394,
    2510,
    501,
    5309,
    14578,
    445,
    71255,
    3255,
    537,
    1730,
    1189,
    3079,
    310,
    421,
    1505,
    8548,
    85622,
    1218,
    394,
    2510,
    501,
    52612,
    445,
    7134,
    2669,
    5927,
    1189,
    3079,
    310,
    3255,
    75888,
    84804,
    1647,
    310,
    3255,
    55253,
    75888,
    2121,
    84804,
    1647,
    286,
    2553,
    286,
    584,
    13050,
    27,
    71255,
    6471,
    29,
    2126,
    5728,
    4262,
    596,
    3568,
    286,
    972,
    310,
    470,
    716,
    38329,
    25876,
    17067,
    2601,
    589,
    435,
    85622,
    736,
    286,
    2553,
    286,
    584,
    13050,
    27,
    71255,
    6471,
    29,
    2126,
    4262,
    596,
    1359,
    9366,
    1548,
    96339,
    1218,
    286,
    972,
    310,
    470,
    716,
    38329,
    25876,
    17067,
    2601,
    589,
    435,
    46404,
    46404,
    764,
    621,
    96339,
    736,
    286,
    1686,
    262,
    1686,
    92,
    80823,
    73594,
    151645,
    198,
    151644,
    77091,
    198,
    14374,
    366,
    26865,
    29,
    8362,
    51909,
    271,
    334,
    19432,
    27745,
    25,
    1019,
    12,
    3070,
    33,
    13299,
    323,
    39256,
    66963,
    64547,
    894,
    19819,
    5975,
    11,
    19585,
    429,
    1410,
    12170,
    11,
    476,
    22551,
    304,
    279,
    2038,
    624,
    12,
    3070,
    17082,
    63713,
    66963,
    54115,
    421,
    1052,
    525,
    894,
    7147,
    79569,
    82,
    11,
    3873,
    10822,
    12378,
    11,
    476,
    5671,
    369,
    2053,
    75407,
    624,
    12,
    3070,
    98846,
    369,
    52651,
    66963,
    39565,
    53484,
    11055,
    389,
    1246,
    311,
    7269,
    91494,
    11,
    5068,
    11,
    323,
    10306,
    2897,
    382,
    334,
    1592,
    39288,
    14243,
    25,
    1019,
    12,
    3070,
    2078,
    2435,
    10748,
    66963,
    2160,
    279,
    2038,
    4135,
    311,
    1349,
    323,
    3535,
    5267,
    12,
    3070,
    1454,
    55713,
    66963,
    8713,
    19585,
    17608,
    34901,
    5267,
    12,
    3070,
    34791,
    66963,
    8713,
    1052,
    894,
    4650,
    5068,
    4714,
    5267,
    12,
    3070,
    66734,
    466,
    2897,
    66963,
    2585,
    4135,
    374,
    432,
    311,
    5602,
    476,
    13036,
    279,
    2038,
    304,
    279,
    3853,
    1939,
    14374,
    21517,
    271,
    785,
    3897,
    1565,
    71255,
    1860,
    63,
    536,
    7952,
    311,
    387,
    1632,
    36925,
    14231,
    369,
    1181,
    10602,
    7428,
    13,
    1084,
    28872,
    11679,
    7424,
    11,
    13469,
    2311,
    16606,
    323,
    4675,
    11,
    323,
    70671,
    4541,
    323,
    4462,
    18906,
    16606,
    13,
    576,
    2038,
    374,
    8789,
    4240,
    323,
    11017,
    1661,
    12378,
    1741,
    438,
    1667,
    19585,
    369,
    1465,
    11589,
    323,
    42569,
    15486,
    12218,
    2878,
    5413,
    382,
    14374,
    86501,
    323,
    39256,
    271,
    334,
    42006,
    66963,
    53957,
    845,
    5785,
    4683,
    304,
    1565,
    1949,
    4262,
    596,
    1359,
    9366,
    18639,
    12,
    3070,
    69769,
    66963,
    1416,
    91621,
    38329,
    25876,
    63,
    5610,
    264,
    1565,
    2921,
    63,
    897,
    11,
    8098,
    74090,
    9064,
    2601,
    589,
    435,
    46404,
    46404,
    764,
    621,
    96339,
    46186,
    1410,
    1102,
    304,
    264,
    1565,
    3280,
    8856,
    1354,
    18639,
    12,
    3070,
    65594,
    66963,
    4600,
    198,
    12,
    3070,
    25958,
    25,
    1019,
    220,
    54275,
    66,
    52917,
    198,
    220,
    584,
    13050,
    27,
    71255,
    6471,
    29,
    2126,
    4262,
    596,
    1359,
    9366,
    1548,
    96339,
    340,
    220,
    341,
    414,
    470,
    716,
    38329,
    25876,
    17067,
    2601,
    589,
    435,
    4607,
    9366,
    961,
    845,
    1009,
    435,
    46404,
    46404,
    764,
    621,
    96339,
    317,
    220,
    456,
    220,
    9902,
    19324,
    14374,
    11461,
    63713,
    271,
    334,
    42006,
    66963,
    11232,
    86311,
    91621,
    3600,
    6471,
    764,
    63,
    17465,
    624,
    12,
    3070,
    69769,
    66963,
    576,
    5916,
    897,
    315,
    91621,
    3600,
    6471,
    764,
    63,
    374,
    92959,
    11,
    892,
    2578,
    537,
    387,
    10507,
    421,
    279,
    1849,
    3880,
    311,
    3705,
    264,
    3460,
    1372,
    315,
    7424,
    476,
    374,
    80654,
    5248,
    3039,
    624,
    12,
    3070,
    65594,
    66963,
    26858,
    198,
    12,
    3070,
    25958,
    25,
    1019,
    220,
    54275,
    66,
    52917,
    198,
    220,
    869,
    526,
    716,
    3600,
    6471,
    764,
    284,
    220,
    16,
    401,
    220,
    584,
    35081,
    1860,
    741,
    220,
    341,
    414,
    716,
    38329,
    25876,
    284,
    501,
    1759,
    27,
    71255,
    6471,
    3913,
    414,
    442,
    96195,
    11,
    2795,
    279,
    1537,
    1483,
    3255,
    3034,
    504,
    264,
    4625,
    476,
    6546,
    198,
    414,
    716,
    3600,
    6471,
    764,
    284,
    8893,
    5842,
    22743,
    6471,
    764,
    543,
    220,
    555,
    220,
    869,
    526,
    8893,
    5842,
    22743,
    6471,
    764,
    741,
    220,
    341,
    414,
    442,
    36101,
    311,
    2795,
    279,
    1537,
    1483,
    3255,
    3034,
    198,
    414,
    470,
    220,
    16,
    26,
    442,
    86721,
    198,
    220,
    456,
    220,
    9902,
    19324,
    14374,
    87615,
    369,
    52651,
    271,
    334,
    42006,
    66963,
    67402,
    315,
    845,
    12341,
    304,
    1565,
    71255,
    7134,
    18639,
    12,
    3070,
    69769,
    66963,
    576,
    1714,
    1558,
    537,
    1779,
    421,
    1565,
    2190,
    63,
    476,
    1565,
    9597,
    63,
    525,
    1565,
    2921,
    7808,
    892,
    1410,
    2990,
    311,
    264,
    1565,
    3280,
    8856,
    1354,
    18639,
    12,
    3070,
    65594,
    66963,
    26858,
    198,
    12,
    3070,
    25958,
    25,
    1019,
    220,
    54275,
    66,
    52917,
    198,
    220,
    584,
    35081,
    6471,
    35081,
    7134,
    80436,
    2311,
    11,
    12039,
    4462,
    340,
    220,
    341,
    414,
    421,
    320,
    2190,
    621,
    845,
    340,
    688,
    2510,
    501,
    29335,
    22886,
    33130,
    701,
    330,
    7134,
    4157,
    387,
    845,
    7320,
    414,
    421,
    320,
    9597,
    621,
    845,
    340,
    688,
    2510,
    501,
    29335,
    22886,
    35420,
    701,
    330,
    9366,
    4157,
    387,
    845,
    30458,
    414,
    421,
    320,
    2190,
    4506,
    4262,
    51430,
    340,
    688,
    2510,
    501,
    52612,
    445,
    7134,
    374,
    2669,
    11679,
    291,
    30458,
    414,
    762,
    3255,
    284,
    501,
    35081,
    6471,
    2490,
    3600,
    6471,
    764,
    22432,
    2311,
    11,
    4462,
    317,
    414,
    2311,
    75888,
    2121,
    4262,
    51430,
    543,
    414,
    716,
    38329,
    25876,
    1904,
    23794,
    317,
    414,
    470,
    3255,
    280,
    220,
    456,
    220,
    9902,
    19324,
    334,
    42006,
    66963,
    67402,
    315,
    10519,
    369,
    1565,
    8548,
    764,
    63,
    304,
    1565,
    5598,
    7134,
    18639,
    12,
    3070,
    69769,
    66963,
    576,
    1714,
    1558,
    537,
    1779,
    421,
    1565,
    8548,
    764,
    63,
    374,
    2878,
    264,
    2697,
    2088,
    11,
    892,
    1410,
    2990,
    311,
    458,
    1565,
    9171,
    49240,
    18639,
    12,
    3070,
    65594,
    66963,
    26858,
    198,
    12,
    3070,
    25958,
    25,
    1019,
    220,
    54275,
    66,
    52917,
    198,
    220,
    584,
    737,
    3411,
    7134,
    1548,
    3255,
    764,
    340,
    220,
    341,
    414,
    762,
    3255,
    284,
    716,
    38329,
    25876,
    29620,
    2601,
    589,
    435,
    49959,
    764,
    621,
    3255,
    764,
    317,
    414,
    421,
    320,
    8548,
    621,
    845,
    340,
    688,
    2510,
    501,
    5309,
    14578,
    445,
    71255,
    3255,
    537,
    1730,
    30458,
    414,
    421,
    1505,
    8548,
    85622,
    340,
    688,
    2510,
    501,
    52612,
    445,
    7134,
    2669,
    5927,
    30458,
    414,
    3255,
    75888,
    84804,
    543,
    414,
    3255,
    55253,
    75888,
    2121,
    84804,
    543,
    220,
    456,
    220,
    9902,
    19324,
    334,
    42006,
    66963,
    67402,
    315,
    8392,
    624,
    12,
    3070,
    69769,
    66963,
    576,
    2473,
    1558,
    537,
    1487,
    894,
    1995,
    11,
    892,
    1410,
    1281,
    27703,
    323,
    14849,
    279,
    6396,
    315,
    7525,
    803,
    5000,
    624,
    12,
    3070,
    65594,
    66963,
    13074,
    198,
    12,
    3070,
    25958,
    25,
    1019,
    220,
    54275,
    66,
    52917,
    198,
    220,
    584,
    35081,
    6471,
    35081,
    7134,
    80436,
    2311,
    11,
    12039,
    4462,
    340,
    220,
    341,
    414,
    421,
    320,
    2190,
    621,
    845,
    340,
    688,
    2510,
    501,
    29335,
    22886,
    33130,
    701,
    330,
    7134,
    4157,
    387,
    845,
    7320,
    414,
    421,
    320,
    9597,
    621,
    845,
    340,
    688,
    2510,
    501,
    29335,
    22886,
    35420,
    701,
    330,
    9366,
    4157,
    387,
    845,
    30458,
    414,
    421,
    320,
    2190,
    4506,
    4262,
    51430,
    340,
    688,
    2510,
    501,
    52612,
    445,
    7134,
    374,
    2669,
    11679,
    291,
    30458,
    414,
    762,
    3255,
    284,
    501,
    35081,
    6471,
    2490,
    3600,
    6471,
    764,
    22432,
    2311,
    11,
    4462,
    317,
    414,
    2311,
    75888,
    2121,
    4262,
    51430,
    543,
    414,
    716,
    38329,
    25876,
    1904,
    23794,
    626,
    414,
    442,
    2835,
    279,
    11679,
    5666,
    198,
    414,
    2835,
    65730,
    276,
    6471,
    11694,
    23794,
    626,
    414,
    470,
    3255,
    280,
    220,
    456,
    220,
    9902,
    19324,
    14374,
    73877,
    271,
    27489,
    11,
    279,
    1565,
    71255,
    1860,
    63,
    536,
    374,
    1632,
    36925,
    14231,
    323,
    11017,
    1661,
    12378,
    13,
    576,
    11827,
    18142,
    686,
    18379,
    1181,
    21765,
    2090,
    11,
    10306,
    2897,
    11,
    323,
    91494,
    13
  ],
  "total_duration": 45161736600,
  "load_duration": 137834000,
  "prompt_eval_count": 503,
  "prompt_eval_duration": 450729100,
  "eval_count": 1011,
  "eval_duration": 44572132700
}
[2025-08-03T15:10:17.727Z] [INFO] _updateWebview called with: isLoading=false, isUmlGeneration=false
[2025-08-03T15:11:30.940Z] [INFO] Ejecutando comando: command.generateUnitTest.title
[2025-08-03T15:11:30.943Z] [INFO] _updateWebview called with: isLoading=true, isUmlGeneration=false
[2025-08-03T15:11:30.947Z] [INFO] Enviando petición a Ollama...
{
  "baseUrl": "http://localhost:11434",
  "model": "qwen2.5-coder:7b"
}
[2025-08-03T15:12:01.577Z] [INFO] Respuesta recibida de Ollama:
{
  "model": "qwen2.5-coder:7b",
  "created_at": "2025-08-03T15:12:01.5602805Z",
